,a_modem_delayed_t,modem_delayed_X,modem_delayed_Y,modem_delayed_Z,modem_delayed_ori_W,modem_delayed_ori_X,modem_delayed_ori_Y,modem_delayed_ori_Z
0,2021-09-17 09:30:09.881725,-129.2269768021611,-31.348819871326654,-5.992399883270264,0.486542160576126,0.0,0.0,0.8736570986273249
1,2021-09-17 09:30:10.925338,-123.28668030089088,-32.79077176348744,-5.0935999870300295,0.4808683043549189,0.0,0.0,0.8767928340644814
2,2021-09-17 09:30:15.179183,-124.7361361195442,-31.95833114518115,-6.585099887847901,0.5003159819734194,0.0,0.0,0.8658428946304133
3,2021-09-17 09:30:16.210662,-126.27933868980452,-31.395700897884538,-6.800200176239014,0.5023733481179432,0.0,0.0,0.8646508076100825
4,2021-09-17 09:30:23.923074,-126.46107861657981,-30.92336747210429,-3.143399906158447,0.5409050261826555,0.0,0.0,0.8410836775555336
5,2021-09-17 09:30:28.391184,-127.87205988151102,-30.32180661209547,-5.792599868774414,0.5457346615539581,0.0,0.0,0.8379580414188927
6,2021-09-17 09:30:29.848830,-127.00060827501405,-30.971374497062698,-7.777799797058106,0.5598609870010697,0.0,0.0,0.8285865526510723
7,2021-09-17 09:30:30.883672,-127.54264909087973,-30.966877244005715,-10.490800094604491,0.5669044744893065,0.0,0.0,0.8237835375898229
8,2021-09-17 09:30:31.919091,-127.86101612350627,-30.43458766240643,-5.790799808502197,0.5798775351218379,0.0,0.0,0.8147036542578053
9,2021-09-17 09:30:32.955002,-129.80414635463066,-29.985840754859538,-7.476200294494629,0.5827718406791106,0.0,0.0,0.8126358235467357
10,2021-09-17 09:30:34.441418,-128.57910459544843,-29.871471972578973,-8.227199745178222,0.5962839370964367,0.0,0.0,0.802773608410723
11,2021-09-17 09:30:35.477114,-128.89045202330425,-29.78592228038991,-5.938200187683106,0.5941742226191069,0.0,0.0,0.804336368178749
12,2021-09-17 09:30:36.518558,-151.38073702883324,-81.10370067952377,-51.88780136108399,0.5769345038883624,0.0,0.0,0.8167904126659966
13,2021-09-17 09:30:40.980117,-127.84118930642826,-30.273626669276325,-9.52859992980957,0.5797847808928515,0.0,0.0,0.8147696655159838
14,2021-09-17 09:30:42.014503,-128.2257813364661,-29.715164125349432,-4.7247998237609865,0.5820039277110114,0.0,0.0,0.8131859738884801
15,2021-09-17 09:30:43.046863,-131.54526439651215,-28.80364152829476,-3.0582999706268312,0.5897160633093159,0.0,0.0,0.8076106516601691
16,2021-09-17 09:30:47.301416,-127.14705345957674,-29.81086107322399,-4.266100120544434,0.6480127575490389,0.0,0.0,0.7616294808197032
17,2021-09-17 09:30:52.220119,-131.82149029425995,-29.017559403703075,-7.869500350952149,0.6241124504590493,0.0,0.0,0.7813345309033773
18,2021-09-17 09:30:53.357909,-132.6206149774954,-28.518445963650436,-2.273800086975098,0.6230952827702996,0.0,0.0,0.7821459381658902
19,2021-09-17 09:30:56.102750,-131.3433610650826,-28.561920012290926,-3.062600088119507,0.6260232915817334,0.0,0.0,0.7798043590524305
20,2021-09-17 09:30:57.139508,-132.2202381410299,-28.39018976620507,-2.345999908447266,0.6391852340963908,0.0,0.0,0.7690528177655565
21,2021-09-17 09:30:58.617808,-131.93865282214708,-28.497018415206014,-2.661199998855591,0.6207943995612604,0.0,0.0,0.7839734137541746
22,2021-09-17 09:31:00.076420,-129.75835887953372,-28.901601307806743,-4.460600090026856,0.6655392803793431,0.0,0.0,0.7463628248192338
23,2021-09-17 09:31:01.107576,-132.6842809308935,-28.292422871014566,-0.9720999717712402,0.6649257092269272,0.0,0.0,0.7469095000125971
24,2021-09-17 09:31:02.142999,-132.06877458613633,-28.39148525384286,-1.0873000144958496,0.6405382538275471,0.0,0.0,0.7679262629859438
25,2021-09-17 09:31:03.194113,-130.8374124281209,-28.538549392327923,-2.1377999305725095,0.6443484472509984,0.0,0.0,0.7647320305343744
26,2021-09-17 09:31:04.225797,-133.86544175764504,-28.006574103479508,-1.150700044631958,0.640753881046551,0.0,0.0,0.7677463538980712
27,2021-09-17 09:31:05.680950,-133.12557587224484,-28.010467096211187,-0.7195000171661377,0.6443136565108305,0.0,0.0,0.7647613431873003
28,2021-09-17 09:31:06.815037,-134.93912196792945,-27.846684183305626,-1.7817000865936279,0.6441501131711881,0.0,0.0,0.764899099033033
29,2021-09-17 09:31:08.296104,-134.77777890888845,-27.877276151350856,-1.1587999582290647,0.6605242513924552,0.0,0.0,0.7508047105089556
30,2021-09-17 09:31:09.759015,-133.30158887634454,-28.187910327183175,-0.018400025367736772,0.6738874036107,0.0,0.0,0.7388340593494791
31,2021-09-17 09:31:10.794787,-134.29904923501584,-27.8227263024327,-0.8514999866485596,0.6695746653585012,0.0,0.0,0.7427447525967795
32,2021-09-17 09:31:11.825694,-132.26445001196876,-28.072159779449464,-1.0660000562667846,0.6754019699627052,0.0,0.0,0.7374497806430598
33,2021-09-17 09:31:12.860704,-136.24832286219723,-27.774057690383714,1.3030999779701233,0.6385857030079825,0.0,0.0,0.7695507130227357
34,2021-09-17 09:31:13.893528,-134.04901385231273,-27.886162396349647,-0.2276999473571777,0.6459404151402646,0.0,0.0,0.7633878307180583
35,2021-09-17 09:31:14.929142,-133.99103053140936,-27.968432522584422,0.31050001382827763,0.6470122436728909,0.0,0.0,0.7624796105715691
36,2021-09-17 09:31:16.353639,-134.96695110557107,-27.787274605020713,0.03549997806549077,0.6564553838875877,0.0,0.0,0.7543648513584126
37,2021-09-17 09:31:17.387980,-132.5857416178789,-27.97746243025709,1.394500005245209,0.6731728769588479,0.0,0.0,0.7394851436823784
38,2021-09-17 09:31:18.867029,-136.1276460912557,-27.563666513189546,0.4920999884605408,0.6532627697140543,0.0,0.0,0.7571312658354048
39,2021-09-17 09:31:20.280966,-131.5674333468733,-28.133181043466152,0.16540001630783085,0.6545601464288866,0.0,0.0,0.7560099302965501
40,2021-09-17 09:31:21.313654,-132.43271914238557,-27.979739893688475,0.16129999160766606,0.6596520007038855,0.0,0.0,0.7515711795747366
41,2021-09-17 09:31:22.349991,-134.57685250542352,-27.81164069208043,0.37469999790191644,0.6260275662966741,0.0,0.0,0.7798009273120052
42,2021-09-17 09:31:23.391151,-133.4287542897095,-27.916938400117274,0.23919998407363907,0.6185689671191339,0.0,0.0,0.7857305090914873
43,2021-09-17 09:31:24.426526,-131.63540506321823,-27.968709546413635,0.3248999893665315,0.6381918074969497,0.0,0.0,0.769877403775287
44,2021-09-17 09:31:25.461167,-134.5068181748515,-27.59455389154452,0.9308999955654145,0.6281809084027236,0.0,0.0,0.7780673147731686
45,2021-09-17 09:31:32.939440,-133.19605406826838,-27.609917277261943,2.2742000102996824,0.6263247554213341,0.0,0.0,0.7795622494364424
46,2021-09-17 09:31:33.974410,-130.90263326916735,-27.7347906361,2.0519999742507933,0.6422308541653056,0.0,0.0,0.7665112719054443
47,2021-09-17 09:31:35.005784,-132.58692638360577,-27.60104575490952,1.750600028038025,0.6271206656388911,0.0,0.0,0.7789221210933954
48,2021-09-17 09:31:36.038408,-131.78414094340002,-27.640477728847458,1.9683000326156617,0.6330974316250713,0.0,0.0,0.7740721168403745
49,2021-09-17 09:31:38.142072,-130.52257459043034,-27.869397351432625,3.0746999263763426,0.6310291654421619,0.0,0.0,0.7757591071726897
50,2021-09-17 09:31:39.838206,-130.69718298757294,-27.80968395476512,3.499199914932251,0.6420300885168547,0.0,0.0,0.7666794411219331
51,2021-09-17 09:31:40.873655,-130.92965023093734,-27.615404720553016,2.860499906539917,0.6406296376093572,0.0,0.0,0.7678500292482273
52,2021-09-17 09:31:41.908633,-133.73954591328976,-27.239198735515927,2.4656999588012694,0.6218419910079506,0.0,0.0,0.7831427317030197
53,2021-09-17 09:31:42.940912,-131.74792843520424,-27.452944297048006,2.5108999490737913,0.6305575386266569,0.0,0.0,0.7761425065547513
54,2021-09-17 09:31:43.981666,-131.9772275891315,-27.47042826397478,3.189400005340576,0.6318527681898748,0.0,0.0,0.7750884332324877
55,2021-09-17 09:31:45.017137,-131.13627810678074,-27.3052873793756,2.085300016403198,0.645031370645785,0.0,0.0,0.7641560906534868
